code,permno,ticker,name,exchcd,shrcd,first_date,last_date,active,included,dlstcd
us.17052,17052,EEMD,E T F SERIES SOLUTIONS,4,73,2017-11-30,2024-10-17,False,False,450
us.17053,17053,SPDV,E T F SERIES SOLUTIONS,4,73,2017-11-30,2024-12-31,True,False,100
us.17054,17054,EMEM,ETFIS SERIES TRUST I,4,73,2017-11-13,2020-01-24,False,False,450
us.17055,17055,XOVR,ENTREPRENEURSHARES SERIES TRUST,3,73,2017-11-09,2024-12-31,True,False,100
us.17058,17058,FEDU,FOUR SEASONS ED CAYMAN INC,1,31,2017-11-09,2024-12-31,True,False,100
us.17059,17059,FLJH,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-07,2024-12-31,True,False,100
us.17060,17060,FLEU,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-13,2024-12-31,True,False,100
us.17061,17061,FLEE,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-07,2024-12-31,True,False,100
us.17062,17062,FLGB,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-07,2024-12-31,True,False,100
us.17063,17063,FLTW,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-09,2024-12-31,True,False,100
us.17066,17066,FLKR,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-07,2024-12-31,True,False,100
us.17067,17067,FLMX,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-07,2024-12-31,True,False,100
us.17068,17068,FLJP,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-07,2024-12-31,True,False,100
us.17069,17069,FLIY,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-22,2023-11-09,False,False,450
us.17070,17070,FLHK,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-09,2024-12-31,True,False,100
us.17071,17071,FLGR,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-07,2024-12-31,True,False,100
us.17073,17073,ESTE,EARTHSTONE ENERGY INC,1,11,2011-01-27,2023-10-31,False,True,231
us.17074,17074,FLFR,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-09,2023-11-09,False,False,450
us.17075,17075,FLCH,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-07,2024-12-31,True,False,100
us.17076,17076,FLCA,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-07,2024-12-31,True,False,100
us.17077,17077,FLBR,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-07,2024-12-31,True,False,100
us.17078,17078,FLAU,FRANKLIN TEMPLETON E T F TRUST,4,73,2017-11-07,2024-12-31,True,False,100
us.17079,17079,GLF,GULFMARK OFFSHORE INC,2,11,2017-11-17,2018-11-15,False,True,231
us.17081,17081,HFRO,HIGHLAND OPP & INCOME FUND,1,44,2017-11-07,2024-12-31,True,False,100
us.17082,17082,IHTA,INVESCO HIGH INCOME 2024 TT FUND,1,44,2017-12-01,2024-11-25,False,False,450
us.17083,17083,JVAL,J P MORGAN E T F TRUST,4,73,2017-11-14,2024-12-31,True,False,100
us.17084,17084,JQUA,J P MORGAN E T F TRUST,4,73,2017-11-14,2024-12-31,True,False,100
us.17085,17085,JMOM,J P MORGAN E T F TRUST,4,73,2017-11-13,2024-12-31,True,False,100
us.17086,17086,JMIN,J P MORGAN E T F TRUST,4,73,2017-11-14,2022-09-06,False,False,450
us.17087,17087,JDIV,J P MORGAN E T F TRUST,4,73,2017-11-14,2022-09-06,False,False,450
us.17088,17088,JT,JIANPU TECHNOLOGY INC,1,31,2017-11-17,2024-02-20,False,False,584
us.17089,17089,JHSC,JOHN HANCOCK E T F TRUST,4,73,2017-11-10,2024-12-31,True,False,100
us.17090,17090,ID,PARTS ID INC,2,11,2017-12-01,2023-12-26,False,True,574
us.17091,17091,YCBD,CBDMD INC,2,11,2017-11-20,2024-12-31,True,True,100
us.17092,17092,LOMA,LOMA NEGRA CORP,1,31,2017-11-02,2024-12-31,True,False,100
us.17093,17093,MCB,METROPOLITAN BANK HOLDING CORP,1,11,2017-11-09,2024-12-31,True,True,100
us.17094,17094,FINV,FINVOLUTION GROUP,1,31,2017-11-13,2024-12-31,True,False,100
us.17095,17095,EMTY,PROSHARES TRUST,4,73,2017-11-17,2024-12-31,True,False,100
us.17096,17096,CLIX,PROSHARES TRUST,4,73,2017-11-17,2024-12-31,True,False,100
us.17097,17097,SEND,SENDGRID INC,1,11,2017-11-16,2019-01-31,False,True,231
us.17098,17098,SOGO,SOGOU INC,1,31,2017-11-10,2021-09-23,False,False,233
us.17100,17100,LOV,SPARK NETWORKS S E,3,31,2017-11-20,2023-09-07,False,False,560
us.17103,17103,ZOM,ZOMEDICA CORP,2,12,2017-11-22,2024-12-31,True,True,100
us.17104,17104,APLS,APELLIS PHARMACEUTICALS INC,3,11,2017-11-10,2024-12-31,True,True,100
us.17105,17105,XFOR,X4 PHARMACEUTICALS INC,3,11,2017-11-17,2024-12-31,True,True,100
us.17106,17106,BAND,BANDWIDTH INC,3,11,2017-11-13,2024-12-31,True,True,100
us.17107,17107,BOXL,BOXLIGHT CORP,3,11,2017-12-01,2024-12-31,True,True,100
us.17108,17108,STEL,STELLAR BANCORP INC,1,11,2017-11-09,2024-12-31,True,True,100
us.17109,17109,KXIN,KAIXIN HOLDINGS,3,12,2017-11-08,2024-12-31,True,True,100
us.17110,17110,PHXM,PHAXIAM THERAPEUTICS S A,3,31,2017-11-13,2024-03-08,False,False,570
us.17112,17112,FMHI,FIRST TR EXCHANGE TRADED FD III,3,73,2017-11-03,2024-12-31,True,False,100
