code,date,dlret_pct
us.11908,2010-11-03,-0.2976
us.11910,2010-12-13,-0.2389
us.11917,2010-11-22,0.0
us.11923,2010-09-17,17.596600000000002
us.11927,2008-03-14,0.0606
us.11946,2009-10-08,6.0542
us.11969,2014-03-25,0.2876
us.11970,2007-02-14,0.0646
us.11972,2014-03-25,0.5118
us.11976,2013-09-10,-0.108
us.11979,2014-03-25,0.5741999999999999
us.11980,2014-03-25,0.08750000000000001
us.11984,2014-03-25,0.8460000000000001
us.11986,2014-03-25,0.9847
us.11988,2014-03-25,-0.6199
us.11989,2014-03-25,-0.0112
us.11992,2021-06-08,-0.3719
us.11998,2009-02-06,-2.2222
us.11999,2015-06-24,-66.5459
us.12007,2018-10-08,-87.4548
us.12011,2016-03-22,0.0
us.12015,2024-12-20,1.1022
us.12018,2018-05-11,4.8387
us.12021,2014-07-17,0.47850000000000004
us.12022,2008-01-25,0.020900000000000002
us.12025,2015-02-20,4.5898
us.12026,2016-08-22,0.0328
us.12027,2016-09-14,0.22269999999999998
us.12030,2016-01-13,60.0
us.12032,2011-11-18,-13.636400000000002
us.12043,2012-10-31,0.4902
us.12047,2019-06-14,0.5303
us.12051,2017-01-19,-0.07690000000000001
us.12057,2016-02-26,5.9603
us.12063,2011-12-30,-34.2723
us.12067,2012-06-04,3.949
us.12072,2016-10-05,-1.49
us.12073,2022-04-01,0.6556000000000001
us.12074,2011-05-31,2.075
us.12077,2012-07-25,-17.7778
us.12079,2009-06-01,-18.6667
us.12080,2017-03-21,-0.3322
us.12081,2011-07-26,0.2735
us.12088,2017-11-30,-0.9557
us.12089,2021-04-21,0.0338
us.12093,2021-12-27,0.3483
us.12097,2016-04-20,0.1934
us.12101,2012-08-28,-0.6816
us.12103,2024-07-19,3.9711000000000003
us.12104,2012-07-19,5.6213
us.12106,2013-05-10,15.5952
us.12113,2007-03-21,-9.0909
us.12118,2007-12-28,18.604699999999998
us.12140,2012-07-26,0.0157
us.12149,2018-08-13,0.0
us.12165,2007-07-13,-1.3390000000000002
us.12166,2023-08-22,10.032399999999999
us.12169,2015-02-27,-65.2778
us.12171,2006-05-25,-13.580300000000001
us.12173,2018-03-08,7.579700000000001
us.12188,2011-05-16,2.9412000000000003
us.12190,2018-02-09,-24.5
us.12214,2011-03-09,-8.5714
us.12217,2014-10-09,0.0
us.12236,2009-08-27,0.1822
us.12248,2016-11-01,-0.11989999999999999
us.12253,2006-02-27,0.4274
us.12269,2010-09-23,1.8648000000000002
us.12281,2010-11-17,0.1581
us.12288,2016-12-23,0.08270000000000001
us.12290,2014-09-26,0.40419999999999995
us.12291,2015-12-17,-17.931
us.12293,2022-05-17,-25.0
us.12306,2016-09-22,0.7252
us.12307,2023-08-18,64.0
us.12309,2016-11-03,11.711
us.12310,2024-04-18,-83.42540000000001
us.12312,2016-07-28,0.028200000000000003
us.12322,2017-05-12,0.2921
us.12323,2016-03-02,0.2571
us.12324,2016-06-22,0.8197
us.12330,2016-07-27,-0.028499999999999998
us.12334,2023-09-20,0.7728999999999999
us.12337,2013-03-27,0.5587
us.12340,2019-09-27,0.0
us.12342,2013-04-24,0.0
us.12346,2010-12-06,1.7386
us.12347,2016-11-29,5.163
us.12348,2018-05-23,0.0
us.12349,2014-07-08,-12.3967
us.12353,2014-12-02,0.0
us.12354,2011-12-20,2.8598
us.12356,2019-06-11,0.1781
us.12357,2016-04-14,2.5641000000000003
us.12358,2024-08-21,-12.9032
us.12359,2013-06-28,0.1252
us.12362,2021-05-28,0.0
us.12364,2014-09-12,0.0
us.12365,2020-11-04,0.3764
us.12367,2024-09-16,-60.4072
us.12371,2021-10-29,1.0819
us.12374,2021-04-20,2.3371
us.12375,2015-01-23,0.0
us.12376,2023-11-10,2.1829
us.12379,2018-11-16,0.41409999999999997
us.12381,2014-03-10,1.0667
us.12382,2014-09-22,-1.6260000000000001
us.12383,2014-07-14,-3.1667
us.12384,2019-12-04,1.4581
us.12388,2013-04-09,-1.4778
us.12389,2017-03-24,-66.7911
us.12390,2016-06-03,0.1838
us.12392,2016-06-23,0.0504
us.12398,2013-03-18,0.3185
us.12399,2015-06-03,-29.166700000000002
us.12401,2012-10-12,44.0
us.12402,2020-02-28,5.114599999999999
us.12403,2014-07-18,0.271
us.12405,2018-12-04,0.22269999999999998
us.12406,2014-10-17,0.7795
us.12409,2012-12-03,-0.11750000000000001
us.12410,2016-04-27,-0.0351
us.12438,2018-06-22,-0.1348
us.12439,2015-12-17,-5.1724
us.12441,2011-10-10,0.5234
us.12444,2016-09-20,1.0558
us.12445,2016-03-02,5.810499999999999
us.12446,2017-12-28,-11.9497
us.12448,2023-04-28,-90.48429999999999
us.12450,2014-12-03,0.3009
us.12451,2020-07-30,-0.6623
us.12454,2014-08-29,1.2433
us.12455,2015-04-01,-10.416699999999999
us.12456,2012-05-21,0.05
us.12458,2007-10-18,0.058
us.12460,2014-02-18,-0.0639
us.12463,2022-05-02,0.0039
us.12464,2014-11-19,6.3212
us.12465,2018-04-06,0.681
us.12468,2013-03-15,-0.5652
us.12469,2018-04-06,0.6079
us.12470,2018-04-06,-0.0611
us.12471,2016-01-26,-0.627
us.12478,2016-04-05,0.0363
us.12479,2012-10-15,-1.2334
us.12481,2016-04-08,0.5136
us.12484,2015-09-15,7.7266
us.12486,2019-08-23,-12.5
us.12489,2016-11-16,0.4673
us.12492,2021-09-09,0.9921
us.12493,2021-11-04,-0.1483
us.12494,2021-04-30,1.8594
us.12496,2017-09-11,-19.6078
us.12498,2018-11-15,1.0859
us.12499,2013-03-05,0.7557
us.12501,2017-07-03,0.8727
us.12502,2023-07-31,-0.1479
us.12503,2021-06-30,0.0
us.12507,2013-12-13,-0.9585
us.12509,2017-10-16,-0.6728999999999999
us.12517,2015-12-30,0.043
us.12518,2014-12-30,0.0433
us.12519,2013-12-30,0.0431
us.12520,2012-12-28,-0.7898000000000001
us.12521,2021-06-11,0.1178
us.12522,2015-08-12,-2.0388
us.12524,2012-02-16,0.2963
us.12525,2012-02-16,0.47019999999999995
us.12526,2012-10-18,0.3882
us.12529,2014-03-21,-2.9163
us.12532,2012-03-23,1.4021000000000001
us.12541,2020-03-12,30.8595
us.12542,2022-10-11,0.07150000000000001
us.12543,2024-07-19,0.0315
us.12545,2013-11-21,27.888800000000003
us.12546,2006-11-16,-0.5479
us.12548,2013-11-21,11.8344
us.12549,2013-11-21,13.2746
us.12550,2013-11-21,16.9434
us.12551,2013-11-21,-3.0342000000000002
us.12553,2017-10-06,0.3032
us.12556,2022-09-13,-41.144999999999996
us.12557,2017-02-02,3.3333000000000004
us.12559,2022-08-02,-0.0625
us.12560,2020-05-04,1.3077
us.12561,2017-09-06,0.579
us.12567,2014-12-18,3.2754
us.12568,2014-12-18,-0.5792
us.12574,2015-09-15,-5.263199999999999
us.12575,2018-12-20,0.0417
us.12576,2013-03-11,0.17049999999999998
us.12580,2014-09-11,11.1111
us.12581,2012-08-17,0.0
us.12582,2022-06-30,0.04
us.12584,2022-03-31,0.1478
us.12585,2016-01-14,0.0
us.12586,2014-04-14,0.6897
us.12587,2020-11-10,2.5684
us.12588,2021-08-25,0.0135
us.12594,2019-10-11,0.055
us.12595,2020-03-27,-0.0308
us.12596,2020-09-25,0.0194
us.12599,2012-08-21,-1.3447
us.12616,2012-02-16,0.135
us.12617,2014-10-16,0.1962
us.12620,2015-10-08,0.1318
us.12624,2020-08-05,-0.07780000000000001
us.12630,2014-12-12,1.0645
us.12632,2016-08-25,0.2262
us.12636,2016-07-15,0.039
us.12637,2016-03-22,-78.1022
us.12638,2019-03-14,0.22859999999999997
us.12639,2021-10-14,0.0174
us.12640,2022-07-20,0.0
us.12645,2019-04-16,0.0101
us.12650,2021-12-13,2.1681
us.12653,2020-10-30,2.3695999999999997
us.12660,2020-06-29,-33.6364
us.12661,2012-02-16,1.03
us.12663,2014-04-24,-34.545500000000004
us.12664,2014-12-12,-2.091
us.12668,2022-06-23,0.0
us.12671,2017-09-06,-0.2682
us.12674,2016-08-25,-0.22060000000000002
us.12679,2019-11-18,-11.8311
us.12682,2013-10-16,0.0572
us.12683,2019-07-29,3.6565
us.12687,2015-11-17,-33.61
us.12688,2015-01-02,1.6951
us.12689,2021-04-15,0.0
us.12691,2014-02-06,0.0741
us.12692,2012-05-03,-40.5405
us.12695,2016-08-29,-0.046
us.12696,2018-12-31,-0.8043
us.12697,2023-10-25,12.3404
us.12700,2013-03-14,0.0
us.12718,2015-03-13,0.0413
us.12719,2013-11-15,0.06899999999999999
us.12720,2018-06-13,-42.028999999999996
us.12725,2012-09-05,1.0999999999999999
us.12726,2012-09-05,1.036
us.12727,2020-03-27,-0.0427
us.12728,2022-03-03,-4.3751999999999995
us.12729,2020-12-11,-0.5599
us.12732,2020-08-21,0.5682999999999999
us.12733,2012-02-16,0.844
us.12734,2012-10-18,-0.096
us.12735,2012-02-16,0.43920000000000003
us.12736,2012-02-16,0.42100000000000004
us.12737,2011-12-23,2.8541
us.12738,2018-03-16,0.2252
us.12739,2016-08-23,-0.21810000000000002
us.12740,2016-08-23,-0.2579
us.12742,2016-12-07,0.0204
us.12743,2013-09-13,-30.232599999999998
us.12744,2021-10-15,-0.4225
us.12748,2023-07-28,1.6394
us.12752,2013-02-26,-0.7759
us.12755,2015-02-19,-7.7778
us.12758,2022-04-29,0.0208
us.12759,2024-04-03,-33.3333
us.12760,2015-06-15,0.4488
us.12761,2012-10-16,0.0422
us.12762,2012-10-16,0.03
us.12763,2012-10-16,0.11230000000000001
us.12764,2012-10-16,0.6962999999999999
us.12767,2012-10-16,0.022000000000000002
us.12768,2012-10-16,0.0174
us.12769,2012-10-16,-0.0583
us.12770,2012-10-16,0.0665
us.12771,2012-10-16,0.34299999999999997
us.12772,2012-10-16,0.3791
us.12775,2012-10-04,-0.0828
us.12776,2012-10-16,0.019799999999999998
us.12777,2012-10-16,0.0193
us.12778,2012-10-16,0.44799999999999995
us.12779,2012-10-16,0.366
us.12780,2012-10-16,-0.1545
us.12782,2014-11-14,-1.6675
us.12784,2013-07-17,-67.9487
us.12785,2017-04-28,-0.3488
us.12787,2015-12-07,1.4947
us.12789,2024-04-12,-51.612899999999996
us.12791,2016-05-13,0.9346
us.12792,2020-08-03,-70.52629999999999
us.12793,2013-08-07,-16.5121
us.12794,2013-10-10,-4.0224
us.12795,2018-06-18,0.1908
us.12796,2024-11-15,-86.1111
us.12797,2017-08-10,-32.330799999999996
us.12798,2021-06-01,0.07150000000000001
us.12827,2014-10-16,1.0817
us.12831,2018-03-29,0.2549
us.12832,2022-08-31,0.1121
us.12833,2019-03-22,0.3574
us.12834,2019-03-22,0.2934
us.12835,2017-11-08,0.0
us.12836,2013-03-15,0.8064
us.12843,2018-05-31,0.5786
us.12844,2024-03-13,0.0951
us.12848,2015-10-20,0.2903
us.12849,2012-09-05,0.23270000000000002
us.12850,2016-07-15,-0.2904
us.12851,2012-09-05,-0.0358
us.12855,2013-10-04,0.8465999999999999
us.12856,2013-10-04,-0.1626
us.12857,2013-10-04,0.34390000000000004
us.12858,2013-10-04,2.1603
us.12859,2013-10-04,-0.7941999999999999
us.12860,2013-10-04,0.7817
us.12863,2013-10-04,-3.5284999999999997
us.12864,2013-10-04,0.3359
us.12865,2014-07-22,0.1781
us.12866,2012-02-16,0.39940000000000003
us.12868,2024-11-20,0.0136
us.12869,2011-12-23,2.3867
us.12871,2024-04-01,2.4181999999999997
us.12873,2019-01-31,2.759
us.12878,2016-06-22,1.8108
us.12879,2013-09-30,-0.0476
us.12881,2016-04-22,0.0
us.12882,2015-12-14,4.0943
us.12883,2014-06-30,36.3636
us.12884,2018-10-01,0.501
us.12887,2014-09-22,-8.1272
us.12891,2019-12-20,1.6667
us.12892,2019-07-22,0.1908
us.12893,2016-08-31,0.7446
us.12894,2016-07-20,-11.6709
us.12898,2012-12-18,-1.1301
us.12900,2015-02-13,0.038
us.12901,2016-03-11,-0.0746
us.12903,2015-06-18,-54.0646
us.12906,2020-01-14,-4.805000000000001
us.12907,2012-12-31,0.0
us.12908,2020-01-08,0.0906
us.12911,2017-08-16,0.3215
us.12914,2020-12-14,0.018799999999999997
us.12915,2020-12-14,-61.2613
us.12916,2018-06-29,1.1662000000000001
us.12919,2023-10-05,0.172
us.12921,2015-11-30,-0.13929999999999998
us.12922,2016-10-03,0.0
us.12924,2017-03-13,0.0
us.12946,2020-03-06,-8.1451
us.12947,2019-06-14,-0.8955
us.12950,2014-10-14,0.0552
us.12951,2014-10-14,0.46759999999999996
us.12952,2016-04-01,-2.1068
us.12954,2017-08-14,-38.853500000000004
us.12955,2013-03-15,-0.18359999999999999
us.12956,2013-03-15,-0.07479999999999999
us.12957,2020-09-08,-2.2005
us.12959,2014-07-18,-17.0213
us.12960,2019-12-23,0.087
us.12962,2015-08-12,1.8155999999999999
us.12963,2016-11-18,-19.3548
us.12964,2013-07-22,-14.132
us.12965,2018-09-06,0.1712
us.12966,2013-03-28,15.625
us.12967,2015-08-31,-3.2779999999999996
us.12970,2012-08-23,2.574
us.12971,2018-12-06,0.19840000000000002
us.12972,2020-10-12,-3.6645
us.12973,2013-06-14,-0.8419
us.12974,2024-05-03,1.6575
us.12983,2021-03-12,-0.189
us.12986,2020-12-11,-1.1924000000000001
us.12987,2012-11-02,-0.6396
us.12988,2019-12-13,0.47200000000000003
us.12989,2012-11-02,-0.1576
us.12990,2012-11-02,1.0242
us.12995,2019-02-20,0.4154
us.13003,2021-10-29,-0.6833
us.13008,2016-12-08,1.0681
us.13009,2016-12-08,2.5263
us.13010,2011-11-28,-0.20950000000000002
us.13011,2011-11-28,1.4108
us.13013,2018-12-04,-3.3626000000000005
us.13014,2018-12-07,-3.8678
us.13015,2018-04-27,0.0
us.13017,2020-02-14,-2.1018
us.13018,2015-05-28,0.3449
us.13022,2017-03-17,0.9347
us.13028,2014-12-12,-1.0105
us.13034,2024-12-20,1.1936
us.13036,2017-09-29,0.0942
us.13037,2019-03-29,1.8270000000000002
us.13038,2022-09-09,-2.2727
us.13041,2017-11-16,0.1112
us.13042,2012-10-16,0.0745
us.13043,2012-10-16,0.0552
us.13044,2012-10-05,-0.6632
us.13045,2012-10-16,0.5177
us.13049,2017-04-27,0.0354
us.13056,2013-08-08,0.052700000000000004
us.13077,2020-02-28,-18.3333
us.13078,2012-09-10,-83.935
us.13080,2019-01-09,0.0179
us.13081,2017-05-17,0.077
us.13082,2021-08-23,0.8456
us.13083,2015-10-05,13.4375
us.13084,2022-10-20,0.0
us.13086,2014-09-26,1.3013000000000001
us.13087,2014-09-26,-0.22629999999999997
us.13088,2014-09-26,-0.3444
us.13090,2016-03-18,0.5625
us.13091,2016-03-18,0.49820000000000003
us.13093,2016-03-31,-3.8563
us.13094,2012-10-16,-0.259
us.13095,2012-10-16,-0.1982
us.13096,2012-10-16,1.4304000000000001
us.13097,2020-06-30,2.6270000000000002
us.13104,2017-09-12,0.7156
us.13106,2017-09-29,2.4077
us.13107,2022-12-20,0.9852
us.13109,2019-09-19,0.4184
us.13110,2016-09-16,-0.0312
us.13112,2016-08-31,-0.42839999999999995
us.13113,2020-06-26,-79.53670000000001
us.13115,2013-06-25,18.320600000000002
us.13117,2020-10-16,-0.0387
us.13118,2013-01-18,0.6224000000000001
us.13119,2006-03-31,0.8392000000000001
us.13121,2020-11-11,-2.1505
us.13123,2015-09-30,6.3511
us.13125,2014-12-12,-1.5217
us.13133,2016-09-29,5.9238
us.13134,2016-07-05,-0.1095
us.13139,2019-02-19,-36.235099999999996
us.13140,2016-02-04,-20.3798
us.13141,2021-01-06,1.7116
us.13145,2019-03-07,-3.7267
us.13160,2017-06-09,0.0
us.13162,2021-01-20,-9.6467
us.13163,2017-05-04,-34.2984
us.13165,2012-10-18,0.08850000000000001
us.13166,2012-10-18,1.6145
us.13167,2019-03-07,0.0
us.13169,2022-05-20,0.4214
us.13170,2015-01-09,-0.11349999999999999
us.13171,2013-06-14,0.3457
us.13172,2017-06-29,-0.0312
us.13173,2013-01-18,0.218
us.13174,2016-10-07,0.0887
us.13175,2013-01-18,0.5385
us.13177,2014-01-24,0.1818
us.13183,2015-08-21,-1.309
us.13184,2015-08-21,-2.1822999999999997
us.13185,2021-03-22,-44.1261
us.13191,2022-03-08,1.1643999999999999
us.13192,2015-01-08,2.072
us.13195,2017-09-06,0.7392
us.13197,2015-03-18,-0.1082
us.13199,2015-08-21,-1.2416
us.13200,2016-08-23,-0.0972
us.13201,2022-06-10,0.0
us.13203,2020-05-29,-7.3535
us.13204,2016-07-12,-30.8176
us.13208,2018-05-18,1.4313
us.13209,2020-05-29,7.1492
us.13212,2020-10-30,1.0492
us.13213,2020-10-30,1.2677
us.13218,2020-10-30,1.2874
us.13222,2012-08-17,-0.045399999999999996
us.13225,2014-03-04,-33.3333
us.13226,2017-10-06,0.7605999999999999
us.13227,2013-11-04,0.0
us.13237,2015-08-21,0.7913
us.13238,2015-08-21,0.47019999999999995
us.13239,2015-08-21,0.022000000000000002
us.13243,2021-10-15,1.5771
us.13247,2015-01-08,1.6016
us.13248,2015-01-08,-2.375
us.13250,2015-12-17,0.0
us.13251,2016-08-24,-0.5912
us.13253,2024-07-31,0.0646
us.13255,2016-11-07,1.1976
us.13256,2015-08-21,-0.8807
us.13257,2015-08-21,-2.6817
us.13261,2018-01-31,0.0
