date,prev_close,open,high,low,close,volume,value
20140102,3829.096,3823.316,3848.253,3813.806,3847.879,308002600000,3141780700000.0
20140103,3847.879,3841.219,3843.36,3802.992,3816.316,346189080000,3562215810000.0
20140106,3816.316,3806.585,3806.585,3709.909,3710.898,345118660000,3308907560000.0
20140107,3710.898,3699.901,3740.717,3688.421,3733.662,270213470000,2739652700000.0
20140108,3733.662,3735.503,3768.503,3726.114,3738.205,317633480000,3238439230000.0
20140109,3738.205,3732.861,3768.618,3693.64,3696.023,331368650000,3412955380000.0
20140110,3696.023,3685.019,3689.187,3619.679,3628.634,311886550000,2956281340000.0
20140113,3628.634,3628.533,3657.686,3588.742,3612.02,276666870000,2746808260000.0
20140114,3612.02,3610.638,3683.534,3601.993,3683.534,283447190000,2761964720000.0
20140115,3683.534,3681.042,3708.542,3675.635,3708.142,292644040000,2994121370000.0
20140116,3708.142,3709.383,3738.083,3703.191,3714.314,293978470000,2947503660000.0
20140117,3714.314,3704.356,3704.96,3669.587,3671.915,251551070000,2564039290000.0
20140120,3671.915,3666.303,3680.01,3627.65,3644.125,236377190000,2461468280000.0
20140121,3644.125,3645.344,3700.594,3645.344,3700.108,284978040000,2921557310000.0
20140122,3700.108,3707.082,3799.057,3707.033,3799.042,416101740000,4184421140000.0
20140123,3799.042,3801.749,3841.028,3795.475,3825.486,404960390000,4379150600000.0
20140124,3825.486,3817.078,3890.528,3811.137,3882.668,455288300000,4851138420000.0
20140127,3882.668,3867.566,3916.666,3854.866,3881.947,423924960000,4571093590000.0
20140128,3881.947,3882.006,3906.573,3847.029,3873.81,317639030000,3525889070000.0
20140129,3873.81,3878.314,3913.124,3878.314,3908.45,327974450000,3640402270000.0
20140130,3908.45,3900.013,3908.605,3877.57,3885.416,283100840000,3068941370000.0
20140207,3885.416,3864.891,3957.933,3854.982,3957.671,338113480000,3731913930000.0
20140210,3957.671,3972.857,4074.63,3972.857,4074.63,574771070000,6249750320000.0
20140211,4074.63,4081.544,4099.775,4031.951,4080.378,616412160000,6614641390000.0
20140212,4080.378,4083.819,4125.709,4064.346,4125.412,587239460000,5984968660000.0
20140213,4125.412,4123.215,4137.588,4064.423,4064.423,607467680000,6177515550000.0
20140214,4064.423,4063.791,4134.226,4060.092,4134.16,506311580000,5226540970000.0
20140217,4134.16,4152.041,4213.142,4152.041,4212.745,621243080000,6521219770000.0
20140218,4212.745,4216.606,4219.034,4188.069,4207.699,635938230000,6641253690000.0
20140219,4207.699,4206.02,4232.877,4180.914,4207.994,609066930000,6279706960000.0
20140220,4207.994,4211.696,4221.63,4139.199,4149.071,622648730000,6198011630000.0
20140221,4149.071,4142.3,4156.794,4085.817,4121.917,477796410000,4696377310000.0
20140224,4121.917,4102.559,4105.792,4043.506,4105.792,509744660000,5252273170000.0
20140225,4105.792,4109.494,4141.259,3937.174,3961.439,653683720000,6975566400000.0
20140226,3961.439,3941.118,3988.059,3883.963,3987.48,486043450000,4949191680000.0
20140227,3987.48,3992.716,4053.854,3932.311,3934.727,542313210000,5703840800000.0
